filename_stem,pdb_id,stage,detail,heavy_species,anarci_chain_type
3auv_Dd_ag_m0,3auv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
3auv_Ee_ag_m0,3auv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
3auv_Ff_ag_m0,3auv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
3esu_Ff_ag_m0,3esu,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
3esv_Ff_ag_m0,3esv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
3esv_Gg_ag_m0,3esv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
3et9_Ff_ag_m0,3et9,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
3etb_Ff_agJ_m0,3etb,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
3etb_Gg_agK_m0,3etb,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
3etb_Hh_agL_m0,3etb,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
3etb_Ii_agM_m0,3etb,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
3ux9_Bb_agA_m0,3ux9,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
3ux9_Dd_agC_m0,3ux9,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
5a2i_Hh_agP_m0,5a2i,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,L
5f3j_Cc_agA_m0,5f3j,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
5f3j_Dd_agB_m0,5f3j,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
5fcs_Hh_ag_m0,5fcs,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
5fcs_Ll_ag_m0,5fcs,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
5ogi_Bb_agA_m0,5ogi,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
5ujz_Gg_agA_m0,5ujz,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5ujz_Hh_agC_m0,5ujz,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5ujz_Ii_agE_m0,5ujz,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5uk0_Gg_agA_m0,5uk0,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5uk0_Hh_agC_m0,5uk0,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5uk0_Ii_agE_m0,5uk0,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5uk1_Gg_agA_m0,5uk1,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5uk1_Hh_agC_m0,5uk1,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5uk1_Ii_agE_m0,5uk1,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5uk2_Gg_agA_m0,5uk2,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5uk2_Hh_agC_m0,5uk2,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5uk2_Ii_agE_m0,5uk2,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
5yax_Aa_ag_m0,5yax,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
6ejg_Cc_agA_m0,6ejg,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
6ejg_Dd_agB_m0,6ejg,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
6eqc_Dd_agA_m0,6eqc,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
6eqc_Ee_agB_m0,6eqc,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
6eqc_Ff_agC_m0,6eqc,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
6i07_Aa_agC_m0,6i07,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
6i07_Bb_agD_m0,6i07,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
6k4z_Aa_aga_m0,6k4z,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,L
6k4z_Bb_agb_m0,6k4z,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,L
6lfv_Aa_agNA_m0,6lfv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
6lfw_Aa_aga_m0,6lfw,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
6lfx_Aa_aga_m0,6lfx,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
6tcs_Aa_ag_m0,6tcs,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
6uqr_Cc_agD_m0,6uqr,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,K
7epu_Aa_agB_m0,7epu,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7k5x_Mm_agC _ B _ D_m0,7k5x,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7k5x_Nn_agG _ F _ H_m0,7k5x,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7k5y_Mm_agC _ B _ D_m0,7k5y,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7k5y_Nn_agG _ H_m0,7k5y,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7k60_Mm_agC _ B _ D_m0,7k60,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7k60_Nn_agG _ F _ H_m0,7k60,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7k61_Mm_agC _ B _ D_m0,7k61,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7k61_Nn_agG _ F _ H_m0,7k61,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7k63_Mm_agC _ B _ D_m0,7k63,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7k63_Nn_agG _ F _ H_m0,7k63,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7urv_Dd_agC_m0,7urv,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (kappa). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,mus musculus,K
7wop_Bb_agA_m0,7wop,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wop_Cc_agA_m0,7wop,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7woq_Dd_agB_m0,7woq,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wor_Dd_agB_m0,7wor,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wor_Ee_agB_m0,7wor,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wor_Ff_agC_m0,7wor,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wos_Dd_agB_m0,7wos,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wos_Ee_agB_m0,7wos,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wos_Ff_agC_m0,7wos,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wos_Gg_agC_m0,7wos,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wou_Dd_agB_m0,7wou,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wou_Ee_agB_m0,7wou,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wou_Ff_agC_m0,7wou,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wou_Gg_agC_m0,7wou,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
7wov_Dd_agA_m0,7wov,sabdab_chain_mislabel,ANARCI HMM classifier identified the sequence stored in SAbDab's Hchain slot as a light-chain locus (lambda). Direct sequence inspection confirms a canonical light-chain variable domain. Root cause: SAbDab annotation error -- Hchain assigned to a light-chain sequence in a light-chain-only deposition with no Lchain partner recorded.,homo sapiens,L
